row_key,date,reactor_id,reactor_type,y_biogas_STP,ml_error_score,ml_error_q
2024-05-03|R4-FIXED DOME|27.520161,2024-05-03,R4-FIXED DOME,FIXED_DOME,27.520161290322577,276.6742905727171,0.7818499127399651
2024-09-19|R2-FLEX|273.090427,2024-09-19,R2-FLEX,FLEX,273.090427293806,274.8122860205785,0.7801047120418848
2024-06-04|R4-FIXED DOME|49.353867,2024-06-04,R4-FIXED DOME,FIXED_DOME,49.35386675594242,270.81489160389197,0.7783595113438045
2024-05-23|R2-FLEX|613.791946,2024-05-23,R2-FLEX,FLEX,613.7919463087248,267.09820080071574,0.7766143106457243
2024-09-15|R4-FIXED DOME|273.906977,2024-09-15,R4-FIXED DOME,FIXED_DOME,273.906976744186,266.98125689149487,0.774869109947644
2024-06-24|R2-FLEX|694.449022,2024-06-24,R2-FLEX,FLEX,694.4490216271885,266.82569336898393,0.7731239092495636
2024-06-29|R2-FLEX|131.054767,2024-06-29,R2-FLEX,FLEX,131.0547667342799,258.6026563671952,0.7713787085514834
2024-08-28|R1-FLEX|348.746198,2024-08-28,R1-FLEX,FLEX,348.7461980398783,256.8417936011818,0.7696335078534031
2024-08-02|R4-FIXED DOME|786.066367,2024-08-02,R4-FIXED DOME,FIXED_DOME,786.0663670929831,256.09464491787827,0.7678883071553229
2024-07-06|R1-FLEX|671.784983,2024-07-06,R1-FLEX,FLEX,671.7849829351536,254.96463135575084,0.7661431064572426
2024-07-23|R2-FLEX|189.30999,2024-07-23,R2-FLEX,FLEX,189.3099897013388,253.96972522784665,0.7643979057591623
2024-05-18|R1-FLEX|732.59596,2024-05-18,R1-FLEX,FLEX,732.5959595959596,253.56726846800825,0.7626527050610821
2024-09-21|R1-FLEX|790.214909,2024-09-21,R1-FLEX,FLEX,790.2149093351243,250.2238856017476,0.7609075043630017
2024-07-10|R2-FLEX|192.553408,2024-07-10,R2-FLEX,FLEX,192.5534079348932,247.06257662526363,0.7591623036649214
2024-09-17|R3-FIXED DOME|791.074239,2024-09-17,R3-FIXED DOME,FIXED_DOME,791.0742387957578,244.25834026741933,0.7574171029668412
2024-06-12|R2-FLEX|262.731278,2024-06-12,R2-FLEX,FLEX,262.73127753303964,244.1315375718927,0.7556719022687609
2024-09-25|R2-FLEX|335.844287,2024-09-25,R2-FLEX,FLEX,335.8442871587462,243.75939558269806,0.7539267015706806
2024-06-04|R2-FLEX|587.43339,2024-06-04,R2-FLEX,FLEX,587.433389544688,242.18891372564838,0.7521815008726004
2024-06-17|R2-FLEX|88.510638,2024-06-17,R2-FLEX,FLEX,88.51063829787233,241.9855161579105,0.7504363001745201
2024-09-17|R4-FIXED DOME|211.826087,2024-09-17,R4-FIXED DOME,FIXED_DOME,211.8260869565217,241.8924798145514,0.7486910994764397
2024-04-23|R3-FIXED DOME|911.849593,2024-04-23,R3-FIXED DOME,FIXED_DOME,911.849593495935,241.80563584419434,0.7469458987783595
2024-04-24|R1-FLEX|363.691525,2024-04-24,R1-FLEX,FLEX,363.6915254237288,236.4820209809821,0.7452006980802792
2024-10-14|R2-FLEX|866.754297,2024-10-14,R2-FLEX,FLEX,866.7542972699697,235.71848946873513,0.743455497382199
2024-05-15|R1-FLEX|75.070423,2024-05-15,R1-FLEX,FLEX,75.07042253521126,235.5966867391819,0.7417102966841187
2024-06-07|R2-FLEX|204.241706,2024-06-07,R2-FLEX,FLEX,204.24170616113747,234.71919744139072,0.7399650959860384
2024-05-01|R2-FLEX|145.843072,2024-05-01,R2-FLEX,FLEX,145.84307178631053,233.1647207101489,0.7382198952879581
2024-09-11|R2-FLEX|0.0,2024-09-11,R2-FLEX,FLEX,0.0,231.549483003356,0.7364746945898778
2024-09-10|R2-FLEX|0.0,2024-09-10,R2-FLEX,FLEX,0.0,231.3483751767798,0.7347294938917975
2024-09-25|R4-FIXED DOME|73.141326,2024-09-25,R4-FIXED DOME,FIXED_DOME,73.14132618888144,230.901362355131,0.7329842931937173
2024-06-10|R4-FIXED DOME|504.939024,2024-06-10,R4-FIXED DOME,FIXED_DOME,504.9390243902439,230.73350061648628,0.731239092495637
2024-07-03|R4-FIXED DOME|63.253862,2024-07-03,R4-FIXED DOME,FIXED_DOME,63.25386165211551,229.9225217341893,0.7294938917975567
2024-07-13|R4-FIXED DOME|39.901428,2024-07-13,R4-FIXED DOME,FIXED_DOME,39.90142760027192,229.90308448179246,0.7277486910994765
2024-06-17|R4-FIXED DOME|11.082544,2024-06-17,R4-FIXED DOME,FIXED_DOME,11.08254397834912,229.05992431460555,0.7260034904013961
2024-07-12|R2-FLEX|171.721339,2024-07-12,R2-FLEX,FLEX,171.7213391951302,229.0154425974035,0.7242582897033158
2024-07-20|R2-FLEX|286.92571,2024-07-20,R2-FLEX,FLEX,286.92571037315986,227.51963003674405,0.7225130890052356
2024-04-24|R4-FIXED DOME|71.963501,2024-04-24,R4-FIXED DOME,FIXED_DOME,71.96350118283203,223.5617722319294,0.7207678883071553
2024-07-12|R1-FLEX|300.474588,2024-07-12,R1-FLEX,FLEX,300.47458768091553,221.92788688933246,0.7190226876090751
2024-05-11|R2-FLEX|100.0,2024-05-11,R2-FLEX,FLEX,100.0,220.51972310870568,0.7172774869109948
2024-06-21|R2-FLEX|200.721754,2024-06-21,R2-FLEX,FLEX,200.7217537942664,219.82534950397286,0.7155322862129145
2024-09-27|R1-FLEX|713.066667,2024-09-27,R1-FLEX,FLEX,713.0666666666667,219.20914649624905,0.7137870855148342
2024-07-30|R4-FIXED DOME|0.0,2024-07-30,R4-FIXED DOME,FIXED_DOME,0.0,217.31903844628835,0.7120418848167539
2024-05-04|R4-FIXED DOME|27.743902,2024-05-04,R4-FIXED DOME,FIXED_DOME,27.74390243902439,217.17386696290163,0.7102966841186736
2024-10-03|R1-FLEX|439.676559,2024-10-03,R1-FLEX,FLEX,439.676558852951,217.16716568319464,0.7085514834205934
2024-10-09|R4-FIXED DOME|566.950522,2024-10-09,R4-FIXED DOME,FIXED_DOME,566.950521709862,214.38938929154526,0.7068062827225131
2024-07-02|R2-FLEX|229.962788,2024-07-02,R2-FLEX,FLEX,229.96278755074425,210.90973554782178,0.7050610820244329
2024-05-13|R2-FLEX|94.04161,2024-05-13,R2-FLEX,FLEX,94.04160982264666,209.9619077853959,0.7033158813263525
2024-09-16|R4-FIXED DOME|300.738967,2024-09-16,R4-FIXED DOME,FIXED_DOME,300.7389668149162,208.71962900188544,0.7015706806282722
2024-07-10|R1-FLEX|342.658184,2024-07-10,R1-FLEX,FLEX,342.6581843191197,205.242318306472,0.699825479930192
2024-07-26|R2-FLEX|210.0,2024-07-26,R2-FLEX,FLEX,210.0,205.11732413019774,0.6980802792321117
2024-08-26|R2-FLEX|690.051867,2024-08-26,R2-FLEX,FLEX,690.0518672199171,202.8302925409884,0.6963350785340314
2024-04-29|R4-FIXED DOME|35.49,2024-04-29,R4-FIXED DOME,FIXED_DOME,35.49,202.71826158327696,0.6945898778359512
2024-05-17|R1-FLEX|674.062813,2024-05-17,R1-FLEX,FLEX,674.0628132308719,202.6663535447484,0.6928446771378709
2024-07-08|R2-FLEX|751.307902,2024-07-08,R2-FLEX,FLEX,751.3079019073568,198.65437135450253,0.6910994764397905
2024-05-01|R1-FLEX|197.584098,2024-05-01,R1-FLEX,FLEX,197.5840978593272,197.72095830363799,0.6893542757417103
2024-08-02|R4-FIXED DOME|335.648241,2024-08-02,R4-FIXED DOME,FIXED_DOME,335.6482412060301,197.5798885669975,0.68760907504363
2024-10-01|R2-FLEX|337.930225,2024-10-01,R2-FLEX,FLEX,337.930224756793,196.84495345277662,0.6858638743455497
2024-10-01|R1-FLEX|394.78607,2024-10-01,R1-FLEX,FLEX,394.7860696517413,195.3933651775863,0.6841186736474695
2024-06-08|R1-FLEX|786.3286,2024-06-08,R1-FLEX,FLEX,786.3286004056795,195.01171960930236,0.6823734729493892
2024-10-10|R2-FLEX|248.012295,2024-10-10,R2-FLEX,FLEX,248.0122950819672,194.46689367023467,0.680628272251309
2024-06-24|R4-FIXED DOME|71.201098,2024-06-24,R4-FIXED DOME,FIXED_DOME,71.20109814687716,194.3997923912545,0.6788830715532286
2024-09-25|R1-FLEX|745.131579,2024-09-25,R1-FLEX,FLEX,745.1315789473684,192.79983129030416,0.6771378708551483
2024-04-30|R1-FLEX|267.986644,2024-04-30,R1-FLEX,FLEX,267.9866444073456,191.9915911983149,0.675392670157068
2024-10-04|R4-FIXED DOME|317.550462,2024-10-04,R4-FIXED DOME,FIXED_DOME,317.5504618542593,191.45785252551403,0.6736474694589878
2024-07-01|R4-FIXED DOME|57.298578,2024-07-01,R4-FIXED DOME,FIXED_DOME,57.29857819905214,191.32419938018785,0.6719022687609075
2024-09-13|R2-FLEX|469.0,2024-09-13,R2-FLEX,FLEX,469.0,189.94898231723326,0.6701570680628273
2024-05-29|R1-FLEX|474.742373,2024-05-29,R1-FLEX,FLEX,474.7423728813559,189.78954270109665,0.6684118673647469
2024-09-06|R2-FLEX|264.614334,2024-09-06,R2-FLEX,FLEX,264.6143344709898,187.59388546545088,0.6666666666666666
2024-07-29|R4-FIXED DOME|90.194142,2024-07-29,R4-FIXED DOME,FIXED_DOME,90.19414168937328,187.29858548863368,0.6649214659685864
2024-07-24|R4-FIXED DOME|104.569083,2024-07-24,R4-FIXED DOME,FIXED_DOME,104.56908344733245,187.27030224943042,0.6631762652705061
2024-04-27|R1-FLEX|346.563981,2024-04-27,R1-FLEX,FLEX,346.56398104265406,187.20004229261787,0.6614310645724258
2024-04-29|R1-FLEX|477.955229,2024-04-29,R1-FLEX,FLEX,477.9552288673571,187.1492668924971,0.6596858638743456
2024-08-09|R4-FIXED DOME|754.304933,2024-08-09,R4-FIXED DOME,FIXED_DOME,754.3049327354261,185.420868473803,0.6579406631762653
2024-05-06|R4-FIXED DOME|41.052632,2024-05-06,R4-FIXED DOME,FIXED_DOME,41.05263157894736,183.6411272402288,0.6561954624781849
2024-07-17|R1-FLEX|384.454976,2024-07-17,R1-FLEX,FLEX,384.4549763033176,183.4424782626068,0.6544502617801047
2024-05-13|R4-FIXED DOME|38.515284,2024-05-13,R4-FIXED DOME,FIXED_DOME,38.51528384279476,181.68024202292565,0.6527050610820244
2024-08-28|R2-FLEX|305.402456,2024-08-28,R2-FLEX,FLEX,305.4024556616644,181.55005367785486,0.6509598603839442
