Model,Train_R2,Test_R2,Gap,RMSE
ExtraTrees,0.9173707428052972,0.8595761354243028,0.0577946073809944,88.06917988130056
XGBoost,0.9025832462269028,0.8190700272596987,0.0835132189672041,99.96748139014699
CatBoost,0.8766047826192249,0.8164877354343113,0.06011704718491362,100.67833829739534
RF,0.9321909908926613,0.7689720625170331,0.16321892837562824,112.96287632282939
LightGBM,0.8986134711599707,0.762344974671743,0.1362684964882277,114.57160384746734
KNN,0.8259791584510572,0.6682312138679012,0.157747944583156,135.36963363062873
Ridge,0.8729489684097618,0.6134022576678051,0.2595467107419567,146.12790177273004
SVR,0.5548853632557151,0.2908500193757534,0.26403534387996175,197.91218762569983
MLP,0.8498023213082122,0.16504361823700775,0.6847587030712045,214.7510944645301
