Model,Train_R2,Test_R2
RF,0.9245159030675167,0.8764977829464787
ExtraTrees,0.916277154289547,0.8748794675867058
LightGBM,0.8997204883845609,0.8580975461376139
XGBoost,0.8964983413901413,0.8576100294222906
Ridge,0.8482136077111602,0.8530745226658393
CatBoost,0.8715574441027159,0.8272784551681106
MLP,0.8593812245144226,0.7994294001555018
KNN,0.8201757832192638,0.7980968553497351
SVR,0.5692324685022404,0.5353684761542559
